dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,1,0,176,52,1364,152704
data001.mat,2,1,2,127,175,1157,136000
data002.mat,1,1,1,196,98,1350,96690
data002.mat,2,1,4,409,332,1597,139381
data002.mat,3,1,0,271,95,1137,100320
data003.mat,1,1,1,256,207,1013,116457
data003.mat,2,1,1,461,97,1351,119076
data004.mat,1,1,2,113,122,1062,112563
data004.mat,2,1,0,437,161,1056,115589
data005.mat,1,1,1,244,60,1173,157251
data005.mat,2,1,2,196,344,1260,95236
data005.mat,3,1,0,496,210,1392,150882
data005.mat,4,1,0,509,221,1138,132678
data006.mat,1,1,0,519,22,1115,166165
data006.mat,2,1,0,362,81,1252,106678
data007.mat,1,1,2,460,194,1363,139045
data007.mat,2,1,0,55,128,1291,139868
data007.mat,3,1,0,352,67,1344,128231
data008.mat,1,1,0,52,48,989,97743
data008.mat,2,1,0,668,317,1783,155535
data009.mat,1,1,0,215,87,1161,85290
data009.mat,2,1,2,329,55,1306,117145
data010.mat,1,1,1,603,21,1315,142418
data010.mat,2,1,0,428,316,1377,89009
data010.mat,3,1,0,608,72,981,64656
data010.mat,4,1,1,113,153,1166,89487
data011.mat,1,1,3,474,156,976,129586
data011.mat,2,1,0,377,151,1111,72333
data012.mat,1,1,0,708,124,2056,175644
data012.mat,2,1,2,510,238,1164,109866
data013.mat,1,1,6,167,151,1088,115385
data013.mat,2,1,1,585,198,1223,128444
data014.mat,1,1,0,664,45,1973,183464
data015.mat,1,1,0,426,169,1965,223114
data015.mat,2,1,1,108,14,697,74103
data016.mat,1,1,0,299,160,1312,122581
data016.mat,2,1,0,597,40,1834,155877
data017.mat,1,1,0,369,129,810,124307
data017.mat,2,1,2,28,151,723,46189
data017.mat,3,1,0,634,158,1215,143984
data018.mat,1,1,3,150,183,916,70025
data019.mat,1,1,0,260,57,1316,132592
data019.mat,2,1,7,776,303,1350,125977
data019.mat,3,1,1,74,155,1427,122679
data020.mat,1,1,1,543,123,1525,118301
data020.mat,2,1,0,453,24,812,116097
data021.mat,1,1,1,172,268,1178,82169
data021.mat,2,1,13,131,197,1620,152773
data022.mat,1,1,0,276,200,1214,103281
data022.mat,2,1,2,644,84,1245,136992
data023.mat,1,1,0,305,622,1462,82898
data023.mat,2,1,14,20,172,1417,106908
data024.mat,1,1,4,153,164,1096,109345
data024.mat,2,1,1,189,101,1004,74266
data025.mat,1,1,0,933,233,1482,216734
data026.mat,1,1,1,47,50,1331,119998
data028.mat,1,1,2,550,172,1380,125263
data028.mat,2,1,3,444,22,1488,123503
data029.mat,1,1,0,114,135,954,103777
data029.mat,2,1,0,654,67,1344,125855
data030.mat,1,1,1,130,77,1120,65762
data030.mat,2,1,1,81,66,884,46474
data030.mat,3,1,1,1147,38,1176,151225
data030.mat,4,1,0,191,292,853,67271
data031.mat,1,1,0,434,226,771,103992
data032.mat,1,1,5,1383,113,1550,188160
data033.mat,1,1,0,32,314,1296,71116
data033.mat,2,1,0,259,235,1785,185658
data034.mat,1,1,0,476,42,1395,159146
data035.mat,1,1,0,304,87,1172,148041
data036.mat,1,1,0,501,188,1323,150406
data037.mat,1,1,1,470,63,864,64468
data037.mat,2,1,0,862,86,2250,194622
data037.mat,3,1,0,671,121,1071,75357
data038.mat,1,1,3,216,215,1703,179180
data038.mat,2,1,0,184,50,274,67919
data038.mat,3,1,2,128,92,850,48631
data039.mat,1,1,2,892,95,722,238010
data039.mat,2,1,1,861,3,1415,173436
data039.mat,3,1,0,28,152,721,56794
data040.mat,1,1,1,183,130,366,65054
data040.mat,2,1,2,209,62,1718,124725
data040.mat,3,1,2,494,375,954,52533
data041.mat,1,1,2,457,377,1290,114023
data041.mat,2,1,0,207,127,670,48061
data041.mat,3,1,1,478,26,1648,125927
data041.mat,4,1,1,274,67,617,56790
data041.mat,5,1,1,137,51,1546,104468
data042.mat,1,1,1,114,398,1320,101673
data042.mat,2,1,0,1101,61,1543,109239
data042.mat,3,1,3,65,154,973,103772
data031.mat,1,1,2,722,243,924,105438
data031.mat,2,1,0,359,8,1577,182762
data031.mat,3,1,0,500,100,1176,154090
data031.mat,4,1,0,664,257,1402,96705
data032.mat,1,1,3,306,54,1460,198278
data032.mat,2,1,0,597,379,754,179159
data033.mat,1,1,5,294,180,1458,192910
data033.mat,2,1,0,617,49,1103,115998
