notes,Image,Cell #,Cell Group,Claire,Bhavana,Brian,Assigned Category,Brian + Claire Avg,Brian Claire Difference,Bins,Bin Names,Frequency in Bins,Summary Stats
,1,1,1,3,4,2,medium,2.5,1,2.4,low,41,3
,1,2,,3,4,2,medium,2.5,1,3.6,medium,105,3.126262626
,1,3,2,2,2,1,low,1.5,1,,high,52,1.018467632
,1,4,,2,2,1,low,1.5,1,,,,2.5
,1,5,,1,2,1,low,1,0,,,,3
,1,6,3,3,1,4,medium,3.5,1,,,,4
,1,7,,3,1,4,medium,3.5,1,,,,5
,1,8,4,3,1,4,medium,3.5,1,,,,
,1,9,,3,1,4,medium,3.5,1,,,,
,1,10,,3,1,2,medium,2.5,1,,,,
,1,12,3,3,1,4,medium,3.5,1,,,,
,1,11,4,3,1,5,high,4,2,,,,
,2,1,1,3,4,3,medium,3,0,,,,
,2,2,,3,4,2,medium,2.5,1,,,,
,2,3,2,2,3,3,medium,2.5,1,,,,
,2,4,,2,3,2,low,2,0
,2,5,3,3,3,2,medium,2.5,1
,2,6,,3,3,2,medium,2.5,1
goodexample image,3,1,1,1,3,3,low,2,2
,3,2,,2,3,3,medium,2.5,1
,3,3,2,1,2,3,low,2,2
,3,4,3,1,2,2,low,1.5,1
,3,5,4,4,5,4,high,4,0
,3,6,,4,5,4,high,4,0
,4,1,1,4,2,5,high,4.5,1
,4,2,,4,2,5,high,4.5,1
,4,3,2,1,1,3,low,2,2
,4,4,3,1,2,3,low,2,2
,4,5,,2,2,3,medium,2.5,1
,4,6,4,4,1,3,medium,3.5,1
,4,7,,3,1,3,medium,3,0
,4,8,,3,1,3,medium,3,0
,4,9,,3,1,3,medium,3,0
,4,10,,3,1,5,high,4,2
,4,11,,3,1,5,high,4,2
,4,12,5,3,1,4,medium,3.5,1
,4,13,,3,1,4,medium,3.5,1
,4,14,,3,1,4,medium,3.5,1
,4,15,6,4,2,4,high,4,0
,4,16,,4,2,4,high,4,0
,4,17,,4,2,4,high,4,0
,4,18,,4,2,4,high,4,0
good example,5,1,1,5,5,3,high,4,2
,5,2,,5,5,3,high,4,2
,5,3,2,1,2,1,low,1,0
,5,4,,1,2,1,low,1,0
,5,5,3,4,4,3,medium,3.5,1
,5,6,,4,4,3,medium,3.5,1
,6,1,1,3,1,3,medium,3,0
,6,2,,3,1,3,medium,3,0
,6,3,,3,1,3,medium,3,0
,6,4,,3,1,3,medium,3,0
,6,5,2,2,3,1,low,1.5,1
,7,1,1,4,5,3,medium,3.5,1
,7,2,,4,5,3,medium,3.5,1
,7,3,2,3,2,2,medium,2.5,1
,7,4,,3,2,2,medium,2.5,1
,8,1,1,5,4,5,high,5,0
