dataFile,objNum,isGood,cy.RNA,GAPDH.RNA
data002.mat,1,1,39,185
data002.mat,2,1,12,194
data002.mat,3,1,18,289
data003.mat,1,1,120,645
data003.mat,2,1,109,285
data003.mat,3,1,23,318
data003.mat,4,1,23,281
data004.mat,1,1,16,608
data004.mat,2,1,101,206
data005.mat,1,1,165,297
data006.mat,1,1,280,331
data006.mat,2,1,101,251
data009.mat,1,1,13,136
data009.mat,2,1,194,153
data009.mat,3,1,21,310
data010.mat,1,1,48,104
data010.mat,2,1,171,182
data010.mat,3,1,12,150
data010.mat,4,1,235,345
data010.mat,5,1,43,93
data011.mat,1,1,143,273
data011.mat,2,1,7,832
data011.mat,3,1,8,246
data012.mat,1,1,56,355
data012.mat,2,1,7,250
data012.mat,3,1,22,300
data012.mat,4,1,71,295
data013.mat,1,1,8,126
data014.mat,1,1,17,384
data014.mat,2,1,123,498
data016.mat,1,0,12,175
data016.mat,2,0,76,238
data017.mat,1,0,4,125
data018.mat,1,0,7,321
data018.mat,2,0,8,608
data018.mat,3,0,156,212
data018.mat,4,0,60,139
data019.mat,1,0,62,200
data020.mat,1,0,27,109
data020.mat,2,0,6,210
data020.mat,3,1,38,155
data021.mat,1,0,1,473
data021.mat,2,0,8,218
data021.mat,3,0,68,199
data022.mat,1,1,154,371
data022.mat,2,0,1,73
data023.mat,1,0,161,277
data023.mat,2,1,17,188
data024.mat,1,0,310,242
data025.mat,1,1,33,372
data025.mat,2,0,0,459
data026.mat,1,1,168,372
data026.mat,2,1,2,294
data026.mat,3,0,33,281
