dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data008.mat,2,0,0,8,543,74,158094
data019.mat,2,0,1,2,535,86,275177
data021.mat,1,0,1,156,273,607,44988
data024.mat,1,0,32,0,596,3,47340
data024.mat,2,0,0,1,215,508,32458
data025.mat,3,0,0,1,297,197,45532
data001.mat,1,1,0,231,299,506,54307
data001.mat,2,1,13,294,343,458,45834
data001.mat,3,1,3,386,289,577,72893
data002.mat,1,1,3,90,240,412,58333
data002.mat,2,1,1,153,94,279,32662
data002.mat,3,1,0,155,164,348,27309
data002.mat,4,1,3,111,116,339,23504
data003.mat,1,1,1,206,164,810,62985
data003.mat,2,1,1,546,762,1156,212559
data003.mat,3,1,0,412,282,472,55940
data003.mat,4,1,3,318,258,661,58752
data004.mat,1,1,0,170,102,365,54523
data004.mat,2,1,0,283,253,426,66895
data004.mat,3,1,0,196,163,758,49573
data005.mat,1,1,0,717,178,921,159553
data005.mat,2,1,0,560,207,1668,260609
data006.mat,1,1,0,348,7,826,50941
data006.mat,2,1,1,226,326,409,51679
data006.mat,3,1,1,210,154,771,59697
data006.mat,4,1,0,205,6,588,46939
data007.mat,1,1,1,1,172,736,41615
data007.mat,2,1,3,125,185,630,40364
data007.mat,3,1,2,90,235,387,47932
data008.mat,1,1,3,359,430,374,95556
data009.mat,1,1,1,243,1067,1009,131796
data009.mat,2,1,2,396,287,963,101220
data009.mat,3,1,2,123,48,405,47614
data010.mat,1,1,0,329,295,388,33437
data010.mat,2,1,0,21,43,271,27537
data010.mat,3,1,7,293,209,385,38299
data011.mat,1,1,0,224,39,712,22664
data011.mat,2,1,0,360,111,546,37189
data011.mat,3,1,3,102,15,527,31111
data011.mat,4,1,0,76,80,394,38527
data011.mat,5,1,0,56,23,345,25331
data012.mat,1,1,0,30,17,306,31024
data012.mat,2,1,16,123,86,501,38021
data012.mat,3,1,1,368,220,702,50674
data012.mat,4,1,1,207,322,465,38603
data012.mat,5,1,1,88,271,366,32250
data012.mat,6,1,0,80,145,578,31501
data013.mat,1,1,20,140,336,1009,111426
data013.mat,2,1,1,508,50,868,44170
data013.mat,3,1,0,191,239,825,73694
data013.mat,4,1,0,214,285,752,57580
data013.mat,5,1,1,133,192,887,41251
data014.mat,1,1,10,50,416,672,77920
data014.mat,2,1,1,62,127,442,20828
data014.mat,3,1,2,0,3,615,30544
data014.mat,4,1,0,11,47,501,37764
data015.mat,1,1,4,101,105,1000,82634
data015.mat,2,1,2,599,957,1463,203030
data015.mat,3,1,0,0,32,462,45968
data016.mat,1,1,0,118,281,486,18056
data016.mat,2,1,6,608,847,1419,190282
data016.mat,3,1,0,286,217,687,51440
data016.mat,4,1,3,148,77,1072,75500
data017.mat,1,1,3,379,1377,1632,168075
data017.mat,2,1,0,31,29,928,42673
data017.mat,3,1,3,328,276,814,79737
data017.mat,4,1,0,27,208,877,42957
data018.mat,1,1,0,120,229,457,31301
data018.mat,2,1,0,201,141,397,38006
data018.mat,3,1,3,158,216,586,42061
data019.mat,1,1,3,271,328,467,64826
data020.mat,1,1,0,141,236,250,30681
data020.mat,2,1,0,170,260,496,36549
data020.mat,3,1,1,729,748,1514,134582
data020.mat,4,1,0,604,916,738,149570
data020.mat,5,1,4,305,268,574,81286
data021.mat,2,1,8,231,336,806,53884
data021.mat,3,1,2,218,296,372,56370
data021.mat,4,1,1,101,90,267,64838
data022.mat,1,1,0,140,290,604,47545
data022.mat,2,1,19,240,307,418,79440
data022.mat,3,1,9,93,384,438,67341
data023.mat,1,1,1,0,379,529,53329
data023.mat,2,1,2,473,691,916,120774
data023.mat,3,1,0,109,179,579,40459
data023.mat,4,1,1,5,4,213,39103
data023.mat,5,1,1,0,267,299,30503
data023.mat,6,1,0,0,160,312,25145
data025.mat,1,1,1,0,169,678,61956
data025.mat,2,1,0,306,812,929,111733
data027.mat,1,1,2,1,105,182,16115
data027.mat,2,1,1,58,460,665,63813
data027.mat,3,1,12,97,466,621,43479
data027.mat,4,1,1,1949,2788,2371,223233
data028.mat,1,1,0,88,171,516,42515
data028.mat,2,1,0,2,149,793,59991
data028.mat,3,1,1,2,146,625,24953
data028.mat,4,1,0,303,164,1072,96574
data029.mat,1,1,9,44,194,384,45608
data029.mat,2,1,6,5,94,598,59325
data029.mat,3,1,1,81,218,729,41094
data029.mat,4,1,2,35,210,461,50144
data030.mat,1,1,0,0,100,173,16914
data030.mat,2,1,1,224,317,724,53909
data030.mat,3,1,0,128,77,326,39315
data030.mat,4,1,2,21,150,377,51947
data031.mat,1,1,2,0,0,1032,68396
data031.mat,2,1,2,41,209,561,74802
data032.mat,1,1,0,38,127,403,52810
data032.mat,2,1,0,330,472,628,59543
data032.mat,3,1,0,135,173,604,47671
data033.mat,1,1,1,127,95,857,61297
data033.mat,2,1,2,111,105,580,53910
data033.mat,3,1,0,164,266,571,46197
