objArrayNum,objNum,isGood,cy.RNA,GAPDH.RNA
1,1,true,165,67
1,2,true,183,21
2,1,true,174,21
2,2,true,145,25
2,3,true,110,14
2,4,true,191,0
2,5,true,36,0
3,1,true,33,0
3,2,true,76,0
3,3,true,129,24
3,4,true,36,10
3,5,true,79,19
3,6,true,138,5
3,7,true,140,0
3,8,true,138,9
4,1,true,217,21
4,2,true,104,8
4,3,true,144,12
4,4,true,23,1
4,5,true,109,0
4,6,true,170,27
4,7,true,245,20
5,1,true,75,0
5,2,true,150,12
5,3,true,103,12
7,1,true,172,0
7,2,true,82,5
7,3,true,53,0
7,4,true,12,0
7,5,true,1,0
7,6,true,83,2
7,7,true,1,0
7,8,true,75,0
7,9,true,35,1
8,1,true,53,0
8,2,true,33,0
8,3,true,90,7
8,4,true,55,0
8,5,true,24,0
8,6,true,53,0
8,7,true,158,13
8,8,true,98,18
8,9,true,16,0
8,10,true,89,7
9,1,true,238,35
9,2,true,21,0
9,3,true,87,25
9,4,true,138,55
9,5,true,116,0
9,6,true,74,6
9,7,true,278,0
9,8,true,21,0
10,1,true,136,46
10,2,true,56,4
10,3,true,43,2
10,4,true,101,0
10,5,true,73,0
10,6,true,0,0
10,7,true,96,3
10,8,true,133,0
10,9,true,97,10
10,10,true,143,11
10,11,true,30,0
10,12,true,1,8
10,13,true,76,0
11,1,true,119,30
11,2,true,115,24
11,3,true,101,0
11,4,true,97,10
11,5,true,148,19
11,6,true,92,15
11,7,true,121,7
12,1,true,108,10
12,2,true,68,17
12,3,true,160,14
12,4,true,68,1
12,5,true,45,1
12,6,true,185,53
12,7,true,161,4
12,8,true,138,20
12,9,true,129,7
13,1,true,213,25
13,2,true,176,10
13,3,true,201,1
13,4,true,43,0
13,5,true,148,32
13,6,true,121,27
14,1,true,140,77
14,2,true,139,83
14,3,true,281,35
14,4,true,271,57
15,1,true,112,0
15,2,true,108,0
15,3,true,153,0
15,4,true,156,98
16,1,true,19,0
16,2,true,75,0
16,3,true,108,49
16,4,true,2,0
16,5,true,0,0
16,6,true,82,0
16,7,true,11,0
16,8,true,3,0
16,9,true,18,0
16,10,true,96,0
16,11,true,58,0
16,12,true,105,17
16,13,true,41,0
16,14,true,149,0
17,1,true,60,0
17,2,true,11,0
17,3,true,12,0
17,4,true,163,0
17,5,true,93,0
18,1,true,89,0
18,2,true,7,0
18,3,true,136,0
18,4,true,31,0
18,5,true,1,0
19,1,true,60,7
19,2,true,55,1
19,3,true,80,0
19,4,true,12,0
20,1,true,57,7
20,2,true,63,24
20,3,true,179,29
20,4,true,119,14
20,5,true,169,5
21,1,true,72,4
21,2,true,59,15
21,3,true,104,20
21,4,true,102,3
21,5,true,106,0
21,6,true,69,6
21,7,true,78,33
21,8,true,75,2
22,1,true,29,0
22,2,true,30,0
23,1,true,126,31
23,2,true,119,42
23,3,true,1,3
23,4,true,30,1
23,5,true,67,5
23,6,true,77,3
24,1,true,140,22
24,2,true,86,10
24,3,true,103,17
24,4,true,84,44
24,5,true,211,15
24,6,true,179,17
25,1,true,81,0
25,2,true,157,4
25,3,true,90,4
25,4,true,102,2
25,5,true,102,1
26,1,true,55,3
26,2,true,139,159
26,3,true,103,172
26,4,true,31,0
26,5,true,37,3
27,1,true,1,0
27,2,true,98,0
27,3,true,129,20
27,4,true,38,0
27,5,true,77,0
27,6,true,92,0
28,1,true,5,1
28,2,true,6,7
28,3,true,88,0
28,4,true,43,0
28,5,true,9,4
28,6,true,86,9
29,1,true,99,6
29,2,true,50,12
29,3,true,107,0
29,4,true,8,0
29,5,true,62,12
29,6,true,96,7
29,7,true,55,0
29,8,true,54,0
30,1,true,79,0
30,2,true,44,0
30,3,true,24,2
30,4,true,81,21
31,1,true,175,9
31,2,true,2,0
31,3,true,44,52
31,4,true,58,0
31,5,true,24,1
32,1,true,150,108
32,2,true,137,12
32,3,true,108,9
33,1,true,1,2
33,2,true,31,5
33,3,true,151,36
33,4,true,53,0
33,5,true,114,4
33,6,true,19,0
