dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data001.mat,1,1,22,1168,482,2638
data001.mat,2,1,3,809,1183,1699
data002.mat,1,0,0,736,376,468
data002.mat,2,1,5,1470,752,2255
data002.mat,3,1,1,396,4,754
data002.mat,4,1,3,386,5,567
data003.mat,1,1,17,1342,155,2136
data003.mat,2,1,23,1263,191,2056
data003.mat,3,1,3,783,9,1007
data003.mat,4,1,12,397,0,906
data004.mat,1,1,30,1029,80,981
data004.mat,2,0,1,469,14,5
data004.mat,3,0,0,232,6,129
data004.mat,4,0,0,648,4,3
data004.mat,5,0,0,240,1464,16
data005.mat,1,1,0,705,13,1408
data005.mat,2,1,8,525,61,1229
data005.mat,3,1,6,747,11,1011
data005.mat,4,1,8,917,160,1344
data005.mat,5,0,2,1299,41,1157
data006.mat,1,1,0,897,181,689
data006.mat,2,1,0,1027,401,1172
data006.mat,3,1,4,545,23,708
data006.mat,4,1,9,846,105,1130
data007.mat,1,1,7,337,1,911
data007.mat,2,1,18,764,14,1002
data007.mat,3,1,4,381,1,642
data007.mat,4,1,0,530,0,696
data007.mat,5,1,1,409,33,587
data008.mat,1,1,9,631,10,1459
data008.mat,2,1,4,353,10,736
data008.mat,3,1,9,513,25,1029
data008.mat,4,1,0,732,592,1087
data009.mat,1,0,0,1416,563,436
data009.mat,2,1,4,388,1,606
data009.mat,3,1,8,1194,112,992
data009.mat,4,1,5,514,4,658
data010.mat,1,1,15,853,75,1247
data010.mat,2,1,9,465,31,504
data010.mat,3,1,6,438,1,1032
data010.mat,4,1,7,914,239,1257
data011.mat,1,1,0,476,0,897
data011.mat,2,1,3,306,5,407
data011.mat,3,1,2,178,0,508
data011.mat,4,1,0,482,101,972
data011.mat,5,1,8,450,0,1067
data012.mat,1,1,0,592,0,994
data012.mat,2,1,1,725,125,908
data012.mat,3,1,7,473,14,975
data012.mat,4,1,3,520,66,1097
data013.mat,1,1,3,218,8,249
data013.mat,2,1,0,330,1,286
data013.mat,3,1,0,418,1,366
data013.mat,4,1,2,1171,77,796
