dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data023.mat,1,0,2,76,311,746
data023.mat,2,1,3,154,393,820
data023.mat,3,1,0,119,250,773
data023.mat,4,1,0,40,158,1397
data024.mat,1,1,0,120,107,915
data024.mat,2,1,1,208,163,873
data025.mat,1,1,2,228,268,602
data025.mat,2,1,3,254,272,570
data025.mat,3,1,6,208,277,601
data025.mat,4,0,1,45,17,1725
data026.mat,1,1,3,245,277,1131
data026.mat,2,1,1,130,37,1148
data026.mat,3,1,4,184,177,812
data027.mat,1,1,1,242,230,959
data029.mat,1,1,0,132,11,1082
data029.mat,2,1,1,333,232,706
data029.mat,3,1,0,64,152,629
data030.mat,1,1,0,293,137,805
data030.mat,2,1,0,138,96,876
data030.mat,3,0,3,460,388,1362
data030.mat,4,1,4,14,150,1127
data031.mat,1,1,19,314,224,1219
data031.mat,2,1,0,419,514,1434
data031.mat,3,1,8,336,949,2011
data032.mat,1,1,1,77,48,681
data032.mat,2,1,3,12,262,1017
data032.mat,3,1,0,204,615,1748
data033.mat,1,1,3,298,93,1062
data033.mat,2,1,0,64,0,1283
data035.mat,1,1,7,661,399,1095
data035.mat,2,1,0,79,66,1419
data035.mat,3,1,1,80,0,1501
data036.mat,1,1,0,162,26,590
data036.mat,2,1,3,665,306,1733
data037.mat,1,1,3,370,177,1410
data037.mat,2,1,2,570,101,1643
data037.mat,3,1,0,36,2,1142
data038.mat,1,1,0,219,0,792
data039.mat,1,1,10,76,343,1546
data039.mat,2,1,0,327,112,1589
data041.mat,1,1,2,263,231,872
data041.mat,2,1,0,56,311,706
data042.mat,1,1,0,10,131,804
data042.mat,2,1,3,458,267,961
data043.mat,1,1,0,191,196,932
data043.mat,2,1,1,321,118,1042
data043.mat,3,1,1,404,165,850
data043.mat,4,1,1,233,148,777
data044.mat,1,1,2,163,163,666
data044.mat,2,1,4,208,352,798
data045.mat,1,1,5,384,278,726
data045.mat,2,1,1,272,148,931
data045.mat,3,1,0,13,0,533
data045.mat,4,1,1,3,1,1251
data045.mat,5,1,0,52,0,704
data061.mat,1,1,0,390,59,998
data061.mat,2,1,0,28,0,1454
data062.mat,1,1,1,232,140,968
data062.mat,2,1,1,334,392,1021
data062.mat,3,1,0,66,103,633
data062.mat,4,1,0,280,298,840
data063.mat,1,1,0,774,103,1298
data063.mat,2,1,0,28,14,1588
data063.mat,3,0,8,31,386,1184
