dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,1,0,5,2,229,25059
data001.mat,2,1,7,0,79,265,18212
data001.mat,3,1,1,0,34,233,17778
data002.mat,1,1,6,184,307,425,21638
data003.mat,1,1,0,16,76,239,16502
data003.mat,2,1,0,8,37,451,20021
data003.mat,3,1,0,1,0,179,22693
data003.mat,4,1,0,159,109,265,10705
data004.mat,1,1,0,0,135,175,13019
data004.mat,2,1,3,6,6,348,22959
data004.mat,3,1,8,23,3,387,24640
data005.mat,1,1,14,35,0,388,20283
data005.mat,2,1,4,122,212,343,14717
data006.mat,1,1,7,6,0,377,12457
data006.mat,2,1,3,1,1,148,6280
data006.mat,3,1,11,309,139,226,13814
data006.mat,4,1,1,15,1,21,14736
data006.mat,5,1,16,10,29,411,16467
data007.mat,1,1,1,309,286,396,26318
data007.mat,2,1,0,90,195,366,16331
data009.mat,1,1,0,7,3,370,23513
data009.mat,2,1,1,2,4,224,21711
data009.mat,3,1,2,5,32,166,13919
data010.mat,1,1,1,153,17,287,20318
data010.mat,2,1,0,131,448,619,22196
data010.mat,3,1,0,246,287,337,15189
data011.mat,1,0,9,31,7,727,26711
data011.mat,2,1,0,16,110,275,15815
data012.mat,1,1,0,0,163,313,12466
data012.mat,2,1,1,4,2,133,25004
data012.mat,3,1,0,5,30,57,18209
data012.mat,4,1,0,2,2,52,17500
data012.mat,5,1,0,4,75,136,24490
data013.mat,1,1,0,3,3,0,20156
data013.mat,2,1,0,3,97,24,19891
data013.mat,3,1,0,5,17,440,32216
data013.mat,4,1,0,9,6,179,24758
