dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,1,2,33,104,172,10776
data003.mat,1,1,0,12,218,32,20442
data003.mat,2,1,0,6,25,1,12747
data003.mat,3,1,3,211,2,4,11022
data004.mat,1,1,0,11,361,129,19692
data006.mat,1,1,1,174,249,83,25238
data006.mat,2,1,1,23,1,30,14271
data006.mat,3,1,0,0,2,34,10342
data007.mat,1,1,0,189,19,211,12269
data007.mat,2,1,1,247,332,195,14107
data009.mat,1,1,0,0,50,41,12903
data011.mat,1,1,0,0,17,1,9678
data011.mat,2,1,0,0,9,1,7745
data011.mat,3,1,0,4,5,9,10508
data012.mat,1,1,11,57,2,76,14223
data012.mat,2,1,0,5,45,0,11735
data013.mat,1,1,1,1,19,17,8233
data013.mat,2,1,0,7,7,39,15284
data014.mat,1,1,1,14,43,15,11152
data015.mat,1,1,1,49,236,73,12121
data016.mat,1,1,0,18,137,0,18039
data016.mat,2,1,0,0,1,0,12222
data016.mat,3,1,0,19,3,7,18074
data017.mat,1,1,1,121,191,23,16347
data017.mat,2,1,0,1,39,0,10831
data018.mat,1,1,0,0,2,0,10121
data018.mat,2,1,5,230,381,45,12207
data019.mat,1,1,0,167,152,14,15379
data019.mat,2,1,2,0,137,8,9467
data020.mat,1,1,0,4,3,0,14201
data020.mat,2,1,0,0,9,1,7854
data020.mat,3,1,0,0,115,1,11948
data020.mat,4,1,0,0,0,0,7831
