dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,4,76,3
data001.mat,2,1,3,125,5
data001.mat,3,1,4,183,6
data001.mat,4,1,0,212,0
data001.mat,5,1,1,260,0
data002.mat,1,1,3,128,1
data002.mat,2,1,14,265,2
data002.mat,3,1,2,208,3
data002.mat,4,1,2,219,2
data003.mat,1,1,5,169,3
data003.mat,2,1,1,180,1
data003.mat,3,1,2,63,6
data003.mat,4,1,2,92,2
data003.mat,5,1,0,99,0
data004.mat,1,1,39,162,5
data004.mat,2,1,0,144,0
data004.mat,3,1,19,212,7
data004.mat,4,1,1,230,1
data004.mat,5,1,28,130,0
data004.mat,6,1,3,163,1
data004.mat,7,1,2,102,2
data005.mat,1,1,8,142,4
data005.mat,2,1,2,132,0
data005.mat,3,1,0,115,1
data005.mat,4,1,1,264,1
data006.mat,1,1,9,143,2
data006.mat,2,1,9,160,0
data006.mat,3,1,10,195,4
data009.mat,1,1,15,394,2
data009.mat,2,1,4,115,2
data009.mat,3,1,1,155,1
data010.mat,1,1,0,128,2
data010.mat,2,1,1,262,0
data010.mat,3,1,6,224,2
data010.mat,4,1,2,163,1
data010.mat,5,1,1,113,0
data010.mat,6,1,3,185,1
data011.mat,1,0,8,222,4
data011.mat,2,1,7,68,2
data011.mat,3,1,23,199,2
data011.mat,4,1,2,259,3
data011.mat,5,1,0,251,7
data011.mat,6,0,1,152,7
data012.mat,1,1,0,231,0
data012.mat,2,1,7,113,0
data012.mat,3,1,0,148,0
data012.mat,4,1,16,236,3
