dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data021.mat,1,1,1,847,185,2666
data021.mat,2,1,2,548,20,1261
data022.mat,1,1,4,1001,957,1934
data022.mat,2,1,3,400,402,1274
data022.mat,3,1,2,965,1022,1805
data022.mat,4,1,0,1050,1025,1453
data023.mat,1,1,1,472,35,553
data023.mat,2,1,3,1029,184,1238
data023.mat,3,1,5,637,13,899
data023.mat,4,1,4,432,24,884
data023.mat,5,1,14,311,3,1049
data023.mat,6,1,5,826,204,3283
data024.mat,1,1,4,555,8,1807
data024.mat,2,1,2,309,72,1110
data024.mat,3,1,1,177,4,508
data024.mat,4,1,3,245,5,710
data024.mat,5,1,0,183,15,1615
data024.mat,6,1,7,164,18,493
data025.mat,1,1,2,239,479,1295
data025.mat,2,1,2,297,1127,1679
data025.mat,3,1,1,259,593,2263
data026.mat,1,1,2,1682,2818,2913
data026.mat,2,1,1,198,970,2093
data027.mat,1,1,5,810,1349,3149
data027.mat,2,1,1,552,538,1931
data027.mat,3,1,1,777,483,1081
data028.mat,1,1,5,407,1122,2621
data028.mat,2,1,2,336,771,2729
data028.mat,3,1,2,500,1277,1664
data029.mat,1,1,1,847,634,2186
data030.mat,1,1,4,1302,1597,5590
data030.mat,2,1,1,885,320,1093
data031.mat,1,1,8,2151,2775,6731
data032.mat,1,1,1,858,669,2915
data032.mat,2,1,4,996,3041,3619
data033.mat,1,1,2,688,1061,2198
data033.mat,2,1,9,660,1206,2634
data033.mat,3,1,1,412,874,1850
data034.mat,1,1,2,433,274,3560
data035.mat,1,1,1,276,46,1344
data035.mat,2,1,3,353,7,1512
data036.mat,1,1,3,360,623,978
data036.mat,2,1,0,903,774,1768
data036.mat,3,1,0,693,1147,1795
data036.mat,4,1,1,685,762,1790
data037.mat,1,1,4,772,537,1591
data037.mat,2,1,4,540,839,2332
data037.mat,3,1,0,465,43,1307
data037.mat,4,1,0,312,16,1751
data038.mat,1,1,2,1287,669,2839
data038.mat,2,1,1,1628,1038,2817
data038.mat,3,1,2,362,291,1386
data038.mat,4,1,0,542,357,1743
data039.mat,1,1,3,997,255,2397
data039.mat,2,1,0,1434,130,3675
data040.mat,1,1,1,648,298,1703
data040.mat,2,0,4,648,1,2972
data041.mat,1,1,0,685,6,2208
data041.mat,2,1,0,1631,92,2467
data042.mat,1,1,0,849,10,1302
data042.mat,2,1,13,667,916,2176
data043.mat,1,1,4,965,1757,1634
data043.mat,2,1,6,1420,2672,3097
data044.mat,1,1,14,1115,3687,2658
data044.mat,2,1,7,261,1090,1115
data045.mat,1,1,3,574,1238,2038
data045.mat,2,1,2,1389,1751,1265
data046.mat,1,1,4,1142,1822,5045
data046.mat,2,1,3,647,1000,4445
data047.mat,1,1,1,516,214,1427
data047.mat,2,1,4,1229,549,892
data047.mat,3,1,5,655,1594,2505
data048.mat,1,1,4,596,1496,1659
data048.mat,2,1,0,913,105,1639
data049.mat,1,1,1,1214,2031,2938
data049.mat,2,1,4,708,809,1629
data050.mat,1,1,1,300,196,2564
data050.mat,2,1,3,776,1459,2342
data050.mat,3,1,5,899,1070,2347
data051.mat,1,1,0,1194,54,1540
data051.mat,2,1,1,1184,21,977
data051.mat,3,1,1,1066,26,1415
data051.mat,4,1,3,360,9,2651
data052.mat,1,1,56,3077,1151,3682
data053.mat,1,1,2,744,1,1199
data053.mat,2,1,1,2112,4,2056
data053.mat,3,1,2,581,2,1247
data053.mat,4,1,2,479,2,1379
data054.mat,1,1,3,947,0,2354
data054.mat,2,1,0,894,0,1697
data054.mat,3,1,0,508,9,2224
data054.mat,4,1,3,764,7,3090
data055.mat,1,1,5,878,1088,2596
data055.mat,2,1,6,1023,645,2123
data055.mat,3,1,4,1039,1033,3305
data056.mat,1,1,2,620,1421,2311
data056.mat,2,1,2,185,58,810
data056.mat,3,1,2,1020,2063,1750
data057.mat,1,1,5,789,750,3154
data057.mat,2,1,1,743,862,2833
data058.mat,1,1,3,1085,1008,2684
data059.mat,1,1,3,1375,585,2782
data059.mat,2,1,4,1421,225,1876
data060.mat,1,1,14,920,2038,3972
