dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,1,0,121,304,123,17150
data001.mat,2,1,0,3,111,5,15533
data002.mat,1,1,0,0,85,0,16008
data002.mat,2,1,0,193,107,25,19054
data003.mat,1,1,0,89,205,44,28708
data003.mat,2,1,0,150,225,9,20236
data010.mat,1,1,1,0,3,1,39189
data011.mat,1,1,0,55,140,275,17425
data011.mat,2,1,0,32,219,96,10916
data011.mat,3,1,1,23,166,8,14042
data011.mat,4,1,0,85,3,2,10326
data012.mat,1,1,0,114,147,155,31470
data012.mat,2,1,0,53,67,23,16019
data012.mat,3,1,0,44,113,29,15857
data012.mat,4,1,0,27,80,4,18932
data013.mat,1,1,0,18,298,18,15854
data013.mat,2,1,0,8,131,4,11588
data014.mat,1,1,1,1,62,73,26123
data014.mat,2,1,0,40,120,0,15499
data015.mat,1,1,5,32,23,10,16423
data015.mat,2,1,0,2,92,26,17792
data016.mat,1,1,0,11,78,17,14086
data016.mat,2,1,1,17,5,15,14655
data016.mat,3,1,0,160,139,73,36321
data017.mat,1,1,0,32,3,1,17173
data017.mat,2,1,0,34,57,30,13772
data018.mat,1,1,0,108,231,152,19119
data018.mat,2,0,8,7,10,58,23584
data019.mat,1,1,3,122,0,92,20528
data022.mat,1,1,0,33,91,11,21022
data022.mat,2,1,0,33,25,1,21171
data023.mat,1,1,0,7,40,0,17762
data023.mat,2,0,0,0,0,0,34881
data023.mat,3,1,0,9,6,0,27765
data024.mat,1,1,0,0,3,0,8519
data025.mat,1,1,0,0,0,142,24655
data025.mat,2,1,1,3,1,0,18725
data026.mat,1,1,0,0,8,1,22786
