objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold
1,1,true,151,0,46,0,264.6397
1,2,true,20,5,73,0,172.3442
1,3,true,58,1,0,0,199.2246
1,4,true,258,2,31,0,220.4362
1,5,true,111,8,0,0,229.2256
1,6,true,16,2,0,0,196.6183
1,7,true,258,2,15,0,223.154
1,8,true,178,0,87,0,413.7116
1,9,true,105,1,36,0,486.9226
1,10,true,168,1,62,1,480.6552
1,11,true,247,14,8,0,438.2626
2,1,true,92,1,1,0,192.3213
2,2,true,93,3,0,0,189.8313
2,3,true,351,14,81,0,639.1348
2,4,true,216,1,127,0,555.7973
2,5,true,203,148,57,0,676.9343
2,6,true,58,48,41,0,699.7675
2,7,true,116,1,59,0,517.4702
2,8,true,87,1,46,0,543.9395
2,9,true,197,11,135,0,423.566
2,10,true,13,1,0,0,326.0741
2,11,true,73,0,0,0,248.8294
2,12,true,57,44,14,0,506.6098
2,13,true,1,3,0,0,864.676
2,14,true,45,0,0,0,511.336
3,1,true,174,3,37,0,420.6388
3,2,true,187,2,50,0,383.9737
3,3,true,281,10,166,0,466.2443
3,4,true,81,67,55,0,437.3235
3,5,true,149,37,49,0,718.5136
3,6,true,105,24,0,0,291.7198
3,7,true,37,0,0,1,323.8435
4,1,true,5,3,0,0,364.3859
4,2,true,1,0,0,0,382.2052
4,3,true,243,1,181,2,1171.473
4,4,true,266,1,390,0,1192.335
4,5,true,20,0,0,0,286.9229
4,6,true,7,0,0,0,337.199
4,7,true,57,0,1,0,436.1217
4,8,true,43,0,35,0,555.4983
4,9,true,41,2,0,0,414.7585
4,10,true,159,3,18,0,344.2094
4,11,true,34,0,0,0,230.9616
5,1,true,3,4,0,0,656.5162
5,2,true,29,2,2,0,413.737
5,3,true,102,0,3,0,272.6697
5,4,true,108,0,4,0,240.5357
5,5,true,176,1,18,0,324.8674
5,6,true,109,36,28,0,380.1056
5,7,true,69,67,21,0,539.604
5,8,true,158,14,11,0,518.2761
5,9,true,172,8,17,0,400.3247
6,1,true,128,15,69,2,791.8816
6,2,true,106,17,52,0,518.4551
6,3,true,271,28,197,5,1041.9529
6,4,true,69,2,2,1,479.3755
6,5,true,112,2,24,1,467.6466
7,1,true,150,1,51,0,414.6142
7,2,true,127,0,83,0,417.9583
7,3,true,39,0,57,0,622.8708
7,4,true,102,2,40,0,369.7174
7,5,true,122,51,88,0,900.0286
7,6,true,189,0,78,0,602.199
7,7,true,83,5,0,0,154.9219
7,8,true,119,2,5,0,249.3258
7,9,true,136,0,7,0,400.9094
7,10,true,91,0,0,0,356.581
8,1,true,232,15,82,0,827.9592
8,2,true,384,39,312,1,2685.625
9,1,true,39,2,0,0,238.2353
9,2,true,71,4,19,0,344.6426
9,3,true,187,16,172,0,788.2065
9,4,true,142,0,0,0,268.0835
9,5,true,196,0,0,0,267.1453
9,6,true,88,0,9,0,358.5434
9,7,true,121,1,6,0,259.7355
9,8,true,141,3,38,0,731.1877
9,9,true,138,157,30,0,510.1044
9,10,true,172,0,0,0,338.1068
9,11,true,91,0,0,0,312.0988
9,12,true,213,5,57,0,594.6167
10,1,true,206,104,219,0,672.2583
10,2,true,183,1,0,0,217.1929
10,3,true,281,24,78,1,384.2112
10,4,true,152,1,0,0,168.1195
10,5,true,99,12,0,0,246.8691
10,6,true,62,0,19,0,263.7612
10,7,true,81,0,0,0,208.8376
10,8,true,157,0,16,0,209.6176
10,9,true,129,105,0,0,377.1327
12,1,true,94,1,0,0,180.6308
12,2,true,158,2,21,1,215.0953
12,3,true,160,0,99,0,670.6693
12,4,true,191,4,161,0,1271.219
12,5,true,176,2,132,0,700.3712
12,6,true,107,1,58,1,823.5219
12,7,true,67,2,32,0,856.8266
12,8,true,105,1,34,1,1084.3722
12,9,true,151,0,102,0,982.3795
12,10,true,185,1,3,0,328.8011
12,11,true,114,0,0,0,264.7385
12,12,true,169,0,35,0,731.2702
12,13,true,162,0,69,0,481.6128
12,14,true,127,0,1,0,350.2066
12,15,true,80,1,1,0,256.9652
12,16,true,151,0,51,0,750.0812
13,1,false,178,40,129,1,614.1647
13,2,true,75,11,71,0,1075.7928
13,3,true,160,14,102,0,1197.9558
13,4,true,9,136,439,1,506.4827
13,5,true,22,147,14,1,2217.6753
13,6,true,176,0,0,0,305.9156
13,7,true,14,0,0,0,436.8669
13,8,true,31,0,0,0,269.0822
13,9,true,77,0,10,0,344.8762
13,10,true,41,0,0,0,226.9837
13,11,true,115,0,0,0,167.8673
13,12,true,46,0,1,0,321.864
13,13,true,102,0,0,0,229.3489
13,14,true,219,6,3,0,245.2685
13,15,true,162,2,0,0,354.2152
14,1,true,249,8,68,0,365.1498
14,2,true,261,37,129,1,676.4132
14,3,true,4,18,0,1,196.5174
14,4,true,204,3,0,0,301.8092
14,5,true,57,0,0,1,228.9104
14,6,true,18,22,1,0,398.6902
14,7,true,116,54,2,0,460.1913
15,1,true,153,47,56,1,537.1334
15,2,true,136,30,20,0,612.8973
15,3,true,70,1,0,0,203.0075
15,4,true,92,0,0,0,188.2392
15,5,true,98,37,8,0,227.9571
16,1,true,228,15,64,0,257.1622
16,2,true,142,10,19,0,258.6937
16,3,true,201,20,66,0,373.1494
16,4,true,352,10,40,0,387.1763
