dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,0,0,4,78,561,45576
data006.mat,1,0,4,406,64,337,62607
data025.mat,4,0,0,116,23,226,42293
data001.mat,2,1,0,43,75,984,80264
data001.mat,3,1,0,18,9,832,46644
data002.mat,1,1,2,31,130,688,51052
data002.mat,2,1,1,121,46,854,48067
data002.mat,3,1,0,37,131,853,42905
data002.mat,4,1,1,153,141,657,72923
data003.mat,1,1,0,281,37,652,23995
data003.mat,2,1,0,237,45,651,20936
data003.mat,3,1,0,83,0,608,40482
data003.mat,4,1,0,20,96,466,30096
data004.mat,1,1,10,192,546,828,161948
data004.mat,2,1,0,261,294,616,74172
data004.mat,3,1,1,525,1021,856,170962
data005.mat,1,1,5,115,55,474,43176
data005.mat,2,1,1,69,12,387,25193
data005.mat,3,1,1,263,39,479,54384
data005.mat,4,1,1,197,119,628,81525
data006.mat,2,1,1,231,80,746,79846
data006.mat,3,1,0,35,5,291,54925
data007.mat,1,1,3,130,273,786,66795
data007.mat,2,1,9,208,133,240,56127
data008.mat,1,1,0,184,22,541,38053
data008.mat,2,1,1,30,0,492,40519
data009.mat,1,1,1,132,108,370,31925
data009.mat,2,1,0,113,73,389,38511
data009.mat,3,1,2,50,145,285,68419
data010.mat,1,1,0,413,317,1582,104000
data010.mat,2,1,0,157,252,550,29576
data010.mat,3,1,2,70,49,554,51438
data010.mat,4,1,0,51,43,400,49364
data011.mat,1,1,2,62,111,382,35883
data011.mat,2,1,0,17,277,653,25269
data011.mat,3,1,1,405,64,743,95558
data011.mat,4,1,2,225,126,537,43060
data012.mat,1,1,0,260,3,495,64388
data012.mat,2,1,3,125,219,443,55381
data013.mat,1,1,0,12,23,596,90799
data013.mat,2,1,0,72,138,290,19400
data014.mat,1,1,0,402,123,759,85381
data014.mat,2,1,0,306,102,338,112583
data014.mat,3,1,3,187,58,412,60594
data015.mat,1,1,0,0,118,469,38233
data015.mat,2,1,0,300,166,485,24497
data015.mat,3,1,0,212,251,307,22235
data015.mat,4,1,2,345,321,522,44769
data016.mat,1,1,0,0,156,579,34357
data016.mat,2,1,0,100,97,415,43162
data016.mat,3,1,0,153,38,715,54258
data017.mat,1,1,3,90,131,1064,80128
data017.mat,2,1,2,93,153,586,64051
data017.mat,3,1,2,316,247,244,33120
data018.mat,1,1,10,88,243,367,34969
data018.mat,2,1,6,178,205,794,70128
data018.mat,3,1,0,230,63,543,39572
data018.mat,4,1,0,895,30,551,99383
data019.mat,1,1,0,51,58,670,21997
data019.mat,2,1,0,211,185,543,64439
data019.mat,3,1,0,43,84,376,47717
data020.mat,1,1,2,111,32,393,44787
data020.mat,2,1,0,296,40,658,128809
data020.mat,3,1,0,116,68,620,52176
data021.mat,1,1,0,442,57,496,41506
data021.mat,2,1,0,61,33,403,44197
data021.mat,3,1,4,80,37,401,23815
data021.mat,4,1,2,35,6,418,27388
data022.mat,1,1,1,19,24,737,91076
data022.mat,2,1,0,42,3,512,61649
data023.mat,1,1,0,209,238,214,65612
data023.mat,2,1,6,534,167,561,57302
data023.mat,3,1,0,257,7,383,50429
data024.mat,1,1,5,96,79,437,23827
data024.mat,2,1,1,374,199,897,69630
data024.mat,3,1,0,111,46,230,32856
data025.mat,1,1,2,237,143,440,46950
data025.mat,2,1,2,35,43,484,29384
data025.mat,3,1,0,126,28,986,112632
data026.mat,1,1,2,41,90,299,39148
data026.mat,2,1,1,378,305,397,53967
data026.mat,3,1,0,228,5,1245,102733
data026.mat,4,1,1,135,48,950,55640
data026.mat,5,1,1,151,237,600,32924
data026.mat,6,1,5,65,328,503,34989
data027.mat,1,1,0,123,32,586,29682
data027.mat,2,1,1,125,2,543,62530
data027.mat,3,1,0,105,60,271,50738
data027.mat,4,1,4,119,99,376,33949
data027.mat,5,1,0,134,195,469,78908
data028.mat,1,1,0,69,6,515,40224
data028.mat,2,1,0,49,10,204,35787
data028.mat,3,1,0,153,155,541,52029
data029.mat,1,1,4,386,208,687,26724
data029.mat,2,1,0,209,71,835,72270
data029.mat,3,1,2,138,182,341,91523
data029.mat,4,1,1,122,121,258,40595
